Index	TimeStamp      	ID        	Length    	Data1 	Data2 	Data3 	Data4 	Data5 	Data6 	Data7 	Data8 	Checksum    
1    	0           	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
2    	9.966       	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
3    	19.974      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
4    	29.968      	08        	5           	01	03	01	01	01	00	ff	ff	F0        
5    	89.967      	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
6    	99.971      	08        	5           	08	03	01	08	08	00	ff	ff	DB        
7    	159.977     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
8    	169.303     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
9    	229.302     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
10   	239.31      	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
11   	249.307     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
12   	259.311     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
13   	319.311     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
14   	329.305     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
15   	339.313     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
16   	349.31      	08        	5           	01	03	01	01	01	00	ff	ff	F0        
17   	409.305     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
18   	419.314     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
19   	479.319     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
20   	489.308     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
21   	549.311     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
22   	559.315     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
23   	569.309     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
24   	579.32      	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
25   	639.317     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
26   	649.314     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
27   	659.318     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
28   	669.311     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
29   	729.311     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
30   	739.319     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
31   	799.325     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
32   	809.313     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
33   	869.313     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
34   	879.325     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
35   	889.334     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
36   	899.322     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
37   	959.322     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
38   	969.316     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
39   	979.327     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
40   	989.317     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
