;$FILEVERSION=1.1
;$STARTTIME=45097.6507000694
;
;   C:\Users\LISA\AppData\Local\Temp\PLIN-ViewPro\Traces\2023-06-20 15-37-00Z\Untitled.ltrc
;
;   Start time: 2023-06-20 15:37:00.486
;   
;   Direction description:
;   ~~~~~~~~~~~~~~~~~~
;     Pub   = Publisher Frame
;     Sub   = Subscriber Frame
;     SubAL = Subscriber Auto Length Frame
;   
;   Checksum Type description:
;   ~~~~~~~~~~~~~~~~~~
;     CL = Classic
;     EH = Enhanced
;     AU = Auto
;   
;   Error Code description:
;   ~~~~~~~~~~~~~~~~~~
;     CK = Checksum Error
;     GS = GroundShort Error
;     P0 = IdParityBit0 Error
;     P1 = IdParityBit1 Error
;     IS = InconsistentSynch Error
;     SR = SlaveNOtResponding Error
;     SD = SlotDelay Error
;     TO = Timeout Error
;     VS = VBatShort Error
;   
;   Columns decription:
;   ~~~~~~~~~~~~~~~~~~~~
;   +Frame Number
;   |           +Timestamp (microseconds)
;   |           |           +Direction
;   |           |           |    +Frame-ID (hex)
;   |           |           |    |   +Frame Length
;   |           |           |    |   |   +Data bytes (hex)
;   |           |           |    |   |   |                       +Checksum (hex)
;   |           |           |    |   |   |                       |   +Checksum Type
;   |           |           |    |   |   |                       |   |    +Error Code
;   |           |           |    |   |   |                       |   |    |
;---+--   ------+-------  --+--  +-  +  -+ -- -- -- -- -- -- --  +-  +-  -+-----------
     1)             2949  SubAL  02  2  03 FF                    BA  EH 
     2)            12943  SubAL  s03  2  00 FF                    FC  EH 
     3)            22951  SubAL  08  5  01 03 01 01 01           F0  EH 
     4)            82953  SubAL  00  2  00 FF                    7F  EH 
     5)            92944  SubAL  08  5  08 03 01 08 08           DB  EH 
     6)           152953  SubAL  03  2  00 FF                    FC  EH 
     7)           162953  SubAL  08  5  07 03 01 02 07           E3  EH 
     8)           222953  SubAL  00  2  03 FF                    7C  EH 
     9)           232950  SubAL  01  2  03 FF                    3B  EH 
    10)           242954  SubAL  02  2  00 FF                    BD  EH 
    11)           252966  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    12)           312951  SubAL  01  2  03 FF                    3B  EH 
    13)           322956  SubAL  02  2  03 FF                    BA  EH 
    14)           332949  SubAL  03  2  00 FF                    FC  EH 
    15)           342957  SubAL  08  5  01 03 01 01 01           F0  EH 
    16)           402956  SubAL  00  2  00 FF                    7F  EH 
    17)           412951  SubAL  08  5  08 03 01 08 08           DB  EH 
    18)           472956  SubAL  03  2  00 FF                    FC  EH 
    19)           482963  SubAL  08  5  07 03 01 02 07           E3  EH 
    20)           542959  SubAL  00  2  00 FF                    7F  EH 
    21)           552960  SubAL  01  2  00 FF                    3E  EH 
    22)           562961  SubAL  02  2  03 FF                    BA  EH 
    23)           572954  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    24)           633082  SubAL  01  2  01 FF                    3D  EH 
    25)           643093  SubAL  02  2  00 FF                    BD  EH 
    26)           653070  SubAL  03  2  00 FF                    FC  EH 
    27)           663075  SubAL  08  5  01 03 01 01 01           F0  EH 
    28)           723074  SubAL  00  2  00 FF                    7F  EH 
    29)           733076  SubAL  08  5  08 03 01 08 08           DB  EH 
    30)           793073  SubAL  03  2  00 FF                    FC  EH 
    31)           803099  SubAL  08  5  07 03 01 02 07           E3  EH 
    32)           863077  SubAL  00  2  00 FF                    7F  EH 
    33)           873074  SubAL  01  2  03 FF                    3B  EH 
    34)           883082  SubAL  02  2  03 FF                    BA  EH 
    35)           893072  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    36)           953079  SubAL  01  2  00 FF                    3E  EH 
    37)           963080  SubAL  02  2  00 FF                    BD  EH 
    38)           973073  SubAL  03  2  00 FF                    FC  EH 
    39)           983085  SubAL  08  5  01 03 01 01 01           F0  EH 
    40)          1043080  SubAL  00  2  00 FF                    7F  EH 
    41)          1053079  SubAL  08  5  08 03 01 08 08           DB  EH 
    42)          1113080  SubAL  03  2  00 FF                    FC  EH 
    43)          1123084  SubAL  08  5  07 03 01 02 07           E3  EH 
    44)          1183087  SubAL  00  2  03 FF                    7C  EH 
    45)          1193117  SubAL  01  2  00 FF                    3E  EH 
    46)          1203085  SubAL  02  2  03 FF                    BA  EH 
    47)          1213078  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    48)          1273082  SubAL  01  2  03 FF                    3B  EH 
    49)          1283126  SubAL  02  2  00 FF                    BD  EH 
    50)          1293080  SubAL  03  2  00 FF                    FC  EH 
    51)          1303088  SubAL  08  5  01 03 01 01 01           F0  EH 
    52)          1363087  SubAL  00  2  00 FF                    7F  EH 
    53)          1373082  SubAL  08  5  08 03 01 08 08           DB  EH 
    54)          1433086  SubAL  03  2  00 FF                    FC  EH 
    55)          1443090  SubAL  08  5  07 03 01 02 07           E3  EH 
    56)          1503090  SubAL  00  2  00 FF                    7F  EH 
    57)          1513087  SubAL  01  2  03 FF                    3B  EH 
    58)          1523091  SubAL  02  2  00 FF                    BD  EH 
    59)          1533085  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    60)          1593089  SubAL  01  2  00 FF                    3E  EH 
    61)          1603093  SubAL  02  2  01 FF                    BC  EH 
    62)          1613086  SubAL  03  2  00 FF                    FC  EH 
    63)          1623037  SubAL  08  5  01 03 01 01 01           F0  EH 
    64)          1683040  SubAL  00  2  00 FF                    7F  EH 
    65)          1693031  SubAL  08  5  08 03 01 08 08           DB  EH 
    66)          1753040  SubAL  03  2  00 FF                    FC  EH 
    67)          1763040  SubAL  08  5  07 03 01 02 07           E3  EH 
    68)          1823039  SubAL  00  2  03 FF                    7C  EH 
    69)          1833036  SubAL  01  2  03 FF                    3B  EH 
    70)          1843041  SubAL  02  2  03 FF                    BA  EH 
    71)          1853038  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    72)          1913038  SubAL  01  2  03 FF                    3B  EH 
    73)          1923079  SubAL  02  2  03 FF                    BA  EH 
    74)          1933036  SubAL  03  2  00 FF                    FC  EH 
    75)          1943044  SubAL  08  5  01 03 01 01 01           F0  EH 
    76)          2003057  SubAL  00  2  00 FF                    7F  EH 
    77)          2013038  SubAL  08  5  08 03 01 08 08           DB  EH 
    78)          2073042  SubAL  03  2  00 FF                    FC  EH 
    79)          2083050  SubAL  08  5  07 03 01 02 07           E3  EH 
    80)          2143046  SubAL  00  2  03 FF                    7C  EH 
    81)          2153047  SubAL  01  2  03 FF                    3B  EH 
    82)          2163048  SubAL  02  2  03 FF                    BA  EH 
    83)          2173041  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    84)          2233045  SubAL  01  2  00 FF                    3E  EH 
    85)          2243049  SubAL  02  2  01 FF                    BC  EH 
    86)          2253046  SubAL  03  2  00 FF                    FC  EH 
    87)          2263051  SubAL  08  5  01 03 01 01 01           F0  EH 
    88)          2323050  SubAL  00  2  00 FF                    7F  EH 
