Index	TimeStamp      	ID        	Length    	Data1 	Data2 	Data3 	Data4 	Data5 	Data6 	Data7 	Data8 	Checksum    
1    	0           	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
2    	10.007      	08        	5           	07	03	01	02	07	00	ff	ff	E3        
3    	70.011      	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
4    	80.0        	01        	2           	07	ff	00	ff	ff	ff	ff	ff	37        
5    	90.009      	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
6    	100.005     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
7    	160.175     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
8    	170.186     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
9    	180.18      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
10   	190.184     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
11   	250.183     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
12   	260.181     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
13   	320.186     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
14   	330.186     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
15   	390.185     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
16   	400.179     	01        	2           	07	ff	00	ff	ff	ff	ff	ff	37        
17   	410.187     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
18   	420.184     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
19   	480.18      	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
20   	490.188     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
21   	500.185     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
22   	510.189     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
23   	570.192     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
24   	580.187     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
25   	640.188     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
26   	650.191     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
27   	710.191     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
28   	720.184     	01        	2           	07	ff	00	ff	ff	ff	ff	ff	37        
29   	730.192     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
30   	740.193     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
31   	800.186     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
32   	810.194     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
33   	820.191     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
34   	830.195     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
35   	890.194     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
36   	900.192     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
37   	960.19      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
38   	970.201     	08        	5           	07	03	01	02	07	00	ff	ff	E3        
39   	1030.225    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
40   	1040.194    	01        	2           	07	ff	00	ff	ff	ff	ff	ff	37        
41   	1050.198    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
42   	1060.195    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
43   	1120.191    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
44   	1130.199    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
45   	1140.2      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
46   	1150.2      	08        	5           	01	03	01	01	01	00	ff	ff	F0        
47   	1210.103    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
48   	1220.102    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
49   	1280.099    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
50   	1290.106    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
51   	1350.106    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
52   	1360.099    	01        	2           	07	ff	00	ff	ff	ff	ff	ff	37        
53   	1370.111    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
54   	1380.104    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
55   	1440.104    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
56   	1450.109    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
57   	1460.106    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
58   	1470.113    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
59   	1530.109    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
60   	1540.111    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
61   	1600.105    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
62   	1610.112    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
63   	1670.115    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
64   	1680.105    	01        	2           	07	ff	00	ff	ff	ff	ff	ff	37        
65   	1690.113    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
66   	1700.11     	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
67   	1760.106    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
68   	1770.118    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
69   	1780.111    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
