;$FILEVERSION=1.1
;$STARTTIME=45561.8333557639
;
;   C:\Users\LISA\AppData\Local\Temp\PLIN-ViewPro\Traces\2024-09-26 20-00-01Z\Untitled.ltrc
;
;   Start time: 2024-09-26 20:00:01.938
;   
;   Direction description:
;   ~~~~~~~~~~~~~~~~~~
;     Pub   = Publisher Frame
;     Sub   = Subscriber Frame
;     SubAL = Subscriber Auto Length Frame
;   
;   Checksum Type description:
;   ~~~~~~~~~~~~~~~~~~
;     CL = Classic
;     EH = Enhanced
;     AU = Auto
;   
;   Error Code description:
;   ~~~~~~~~~~~~~~~~~~
;     CK = Checksum Error
;     GS = GroundShort Error
;     P0 = IdParityBit0 Error
;     P1 = IdParityBit1 Error
;     IS = InconsistentSynch Error
;     SR = SlaveNOtResponding Error
;     SD = SlotDelay Error
;     TO = Timeout Error
;     VS = VBatShort Error
;   
;   Columns decription:
;   ~~~~~~~~~~~~~~~~~~~~
;   +Frame Number
;   |           +Timestamp (microseconds)
;   |           |           +Direction
;   |           |           |    +Frame-ID (hex)
;   |           |           |    |   +Frame Length
;   |           |           |    |   |   +Data bytes (hex)
;   |           |           |    |   |   |                       +Checksum (hex)
;   |           |           |    |   |   |                       |   +Checksum Type
;   |           |           |    |   |   |                       |   |    +Error Code
;   |           |           |    |   |   |                       |   |    |
;---+--   ------+-------  --+--  +-  +  -+ -- -- -- -- -- -- --  +-  +-  -+-----------
     1)            30694  SubAL  01  2  00 FF                    3E  EH 
     2)            40688  SubAL  02  2  00 FF                    BD  EH 
     3)            50696  SubAL  03  2  00 FF                    FC  EH 
     4)            60696  SubAL  08  5  01 03 01 01 01           F0  EH 
     5)           120688  SubAL  00  2  09 FF                    76  EH 
     6)           130697  SubAL  08  5  08 03 01 08 08           DB  EH 
     7)           190702  SubAL  03  2  00 FF                    FC  EH 
     8)           200691  SubAL  08  5  07 03 01 02 07           E3  EH 
     9)           260694  SubAL  00  2  09 FF                    76  EH 
    10)           270698  SubAL  01  2  00 FF                    3E  EH 
    11)           280692  SubAL  02  2  00 FF                    BD  EH 
    12)           290704  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    13)           350700  SubAL  01  2  00 FF                    3E  EH 
    14)           360697  SubAL  02  2  00 FF                    BD  EH 
    15)           370701  SubAL  03  2  00 FF                    FC  EH 
    16)           380698  SubAL  08  5  01 03 01 01 01           F0  EH 
    17)           440694  SubAL  00  2  09 FF                    76  EH 
    18)           450702  SubAL  08  5  08 03 01 08 08           DB  EH 
    19)           510704  SubAL  03  2  00 FF                    FC  EH 
    20)           520696  SubAL  08  5  07 03 01 02 07           E3  EH 
    21)           580696  SubAL  00  2  09 FF                    76  EH 
    22)           590708  SubAL  01  2  00 FF                    3E  EH 
    23)           600697  SubAL  02  2  00 FF                    BD  EH 
    24)           610705  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    25)           670705  SubAL  01  2  00 FF                    3E  EH 
    26)           680699  SubAL  02  2  00 FF                    BD  EH 
    27)           690710  SubAL  03  2  00 FF                    FC  EH 
    28)           700703  SubAL  08  5  01 03 01 01 01           F0  EH 
    29)           760703  SubAL  00  2  09 FF                    76  EH 
    30)           770708  SubAL  08  5  08 03 01 08 08           DB  EH 
    31)           830709  SubAL  03  2  00 FF                    FC  EH 
    32)           840702  SubAL  08  5  07 03 01 02 07           E3  EH 
    33)           900701  SubAL  00  2  09 FF                    76  EH 
    34)           910547  SubAL  01  2  00 FF                    3E  EH 
    35)           920541  SubAL  02  2  00 FF                    BD  EH 
    36)           930549  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    37)           990552  SubAL  01  2  00 FF                    3E  EH 
    38)          1000542  SubAL  02  2  00 FF                    BD  EH 
    39)          1010550  SubAL  03  2  00 FF                    FC  EH 
    40)          1020547  SubAL  08  5  01 03 01 01 01           F0  EH 
    41)          1080542  SubAL  00  2  09 FF                    76  EH 
    42)          1090555  SubAL  08  5  08 03 01 08 08           DB  EH 
    43)          1150553  SubAL  03  2  00 FF                    FC  EH 
    44)          1160549  SubAL  08  5  07 03 01 02 07           E3  EH 
    45)          1220545  SubAL  00  2  09 FF                    76  EH 
    46)          1230553  SubAL  01  2  00 FF                    3E  EH 
    47)          1240546  SubAL  02  2  00 FF                    BD  EH 
    48)          1250554  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    49)          1310554  SubAL  01  2  00 FF                    3E  EH 
    50)          1320547  SubAL  02  2  00 FF                    BD  EH 
    51)          1330556  SubAL  03  2  00 FF                    FC  EH 
    52)          1340552  SubAL  08  5  01 03 01 01 01           F0  EH 
    53)          1400548  SubAL  00  2  09 FF                    76  EH 
    54)          1410557  SubAL  08  5  08 03 01 08 08           DB  EH 
    55)          1470558  SubAL  03  2  00 FF                    FC  EH 
    56)          1480551  SubAL  08  5  07 03 01 02 07           E3  EH 
    57)          1540550  SubAL  00  2  09 FF                    76  EH 
    58)          1550558  SubAL  01  2  00 FF                    3E  EH 
    59)          1560555  SubAL  02  2  00 FF                    BD  EH 
    60)          1570559  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    61)          1630559  SubAL  01  2  00 FF                    3E  EH 
    62)          1640560  SubAL  02  2  00 FF                    BD  EH 
    63)          1650561  SubAL  03  2  00 FF                    FC  EH 
    64)          1660561  SubAL  08  5  01 03 01 01 01           F0  EH 
    65)          1720553  SubAL  00  2  09 FF                    76  EH 
    66)          1730562  SubAL  08  5  08 03 01 08 08           DB  EH 
    67)          1790567  SubAL  03  2  00 FF                    FC  EH 
    68)          1800556  SubAL  08  5  07 03 01 02 07           E3  EH 
    69)          1860559  SubAL  00  2  09 FF                    76  EH 
    70)          1870563  SubAL  01  2  00 FF                    3E  EH 
    71)          1880557  SubAL  02  2  00 FF                    BD  EH 
    72)          1890569  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    73)          1950568  SubAL  01  2  00 FF                    3E  EH 
    74)          1960565  SubAL  02  2  00 FF                    BD  EH 
    75)          1970569  SubAL  03  2  00 FF                    FC  EH 
    76)          1980566  SubAL  08  5  01 03 01 01 01           F0  EH 
    77)          2040562  SubAL  00  2  09 FF                    76  EH 
    78)          2050570  SubAL  08  5  08 03 01 08 08           DB  EH 
    79)          2110572  SubAL  03  2  00 FF                    FC  EH 
    80)          2120564  SubAL  08  5  07 03 01 02 07           E3  EH 
    81)          2180564  SubAL  00  2  09 FF                    76  EH 
    82)          2190576  SubAL  01  2  00 FF                    3E  EH 
    83)          2200565  SubAL  02  2  00 FF                    BD  EH 
    84)          2210573  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    85)          2270573  SubAL  01  2  00 FF                    3E  EH 
    86)          2280567  SubAL  02  2  00 FF                    BD  EH 
    87)          2290578  SubAL  03  2  00 FF                    FC  EH 
    88)          2300571  SubAL  08  5  01 03 01 01 01           F0  EH 
